,ID,link,lat,lon,owner,title
39,53576758393,https://live.staticflickr.com/65535/53576758393_aac3b7f81f_c.jpg,50.069375,8.686563,145451252@N03,"american yellow-bellied sliders (Trachemys scripta scripta | Gelbbauch oder Gelbwangen-Schmuckschildkröten) resting at Jacobiweiher 2, Frankfurt city forest"
40,53576545571,https://live.staticflickr.com/65535/53576545571_3b6597f5e1_c.jpg,50.068377,8.686836,145451252@N03,"blackthorn blossoms (Prunus spinosa | Schlehe) and bokeh, Frankfurt city forest"
41,53576853854,https://live.staticflickr.com/65535/53576853854_4a88e8e4a6_c.jpg,50.123336,8.680475,16854222@N05,Spring Sunshine In Her Eyes
42,53576699468,https://live.staticflickr.com/65535/53576699468_cc9a955a57_c.jpg,50.106075,8.720869,93897327@N00,PXL_20230521_184545450.MP-1
43,53576699458,https://live.staticflickr.com/65535/53576699458_049a987613_c.jpg,50.112997,8.754325,93897327@N00,PXL_20230522_195527046.NIGHT-1
44,53575620402,https://live.staticflickr.com/65535/53575620402_05ddec1aef_c.jpg,50.112827,8.753766,93897327@N00,PXL_20230522_195812304.NIGHT-1
45,53576699443,https://live.staticflickr.com/65535/53576699443_5ba5e76bee_c.jpg,50.106669,8.702861,93897327@N00,PXL_20230524_155734099.MP-1
46,53576811724,https://live.staticflickr.com/65535/53576811724_8a190eeb3b_c.jpg,50.112952,8.751925,93897327@N00,PXL_20230522_195905926.MP-1
47,53575620247,https://live.staticflickr.com/65535/53575620247_ce97ebdfb9_c.jpg,50.109069,8.683950,93897327@N00,PXL_20230524_185317463.MP-1
48,53576499076,https://live.staticflickr.com/65535/53576499076_25391605ee_c.jpg,50.066983,8.689800,145451252@N03,"male mandarin duck (Aix galericulata | Mandarinente) swimming on Jacobiweiher, Frankfurt city forest"
49,53576498801,https://live.staticflickr.com/65535/53576498801_2d9e88b540_c.jpg,50.068550,8.687827,145451252@N03,"blackthorn blossoms (Prunus spinosa | Schlehe) in sunlight, Frankfurt city forest"
50,53576120206,https://live.staticflickr.com/65535/53576120206_752c7b812c_c.jpg,50.105025,8.688205,7815453@N05,49 - Francfort Mars 2024 - Maininsel und Alte Brücke
51,53576444764,https://live.staticflickr.com/65535/53576444764_9d8b914a37_c.jpg,50.105025,8.688205,7815453@N05,48 - Francfort Mars 2024 - Alte Brücke
52,53575075597,https://live.staticflickr.com/65535/53575075597_38e7d31894_c.jpg,50.069319,8.686797,145451252@N03,"bud 1, Frankfurt city forest"
53,53576152913,https://live.staticflickr.com/65535/53576152913_cb7b464ebe_c.jpg,50.069386,8.686733,145451252@N03,"first corydalis (Lerchensporn) of the year, Frankfurt city forest"
54,53576267059,https://live.staticflickr.com/65535/53576267059_da4ba6878d_c.jpg,50.069375,8.686563,145451252@N03,"beautiful american yellow-bellied slider (Trachemys scripta scripta | Gelbbauch oder Gelbwangen-Schmuckschildkröte) at Jacobiweiher, Frankfurt city forest"
55,53575941241,https://live.staticflickr.com/65535/53575941241_152e5c8b7c_c.jpg,50.070291,8.685166,145451252@N03,"looks like jungle at Jacobiweiher, Frankfurt city forest"
56,53576285460,https://live.staticflickr.com/65535/53576285460_9be29aba11_c.jpg,50.070866,8.684530,145451252@N03,"tender bud, Frankfurt city forest"
