,id,cluster
0,52585314134,20
1,52583762360,20
2,52585488665,20
3,52585056186,20
4,51960277471,20
5,52585573073,20
6,52585315479,20
7,52582856047,20
8,52583584844,20
9,52583837223,20
10,52583586064,20
11,52583586354,20
12,52204781231,21
13,52583838658,20
14,52585486930,20
15,52585571478,20
16,52585486130,20
17,52583586989,20
18,52585570563,20
19,52585485090,20
20,52585570048,20
21,52585561043,20
22,52584571132,20
23,52583842008,20
24,52582860147,20
25,52585317174,20
26,52585320479,20
27,52582859212,20
28,52905486474,20
29,52461937106,21
30,52462140854,21
31,52462408473,21
32,52461357422,21
33,52676383196,21
34,52462207289,21
35,52461937861,21
36,52462473708,21
37,52462393175,21
38,52462393070,21
39,52675873677,21
40,52462385005,21
41,52462198699,21
42,52461936926,21
43,52461929401,21
44,52676881988,21
45,52461416977,21
46,52461931426,21
47,52462200504,21
48,52462467593,21
49,52462385820,21
50,52462198954,21
51,52462465888,21
52,52462473453,21
53,52462125334,21
54,52461356832,21
55,52461359917,21
56,52462329270,21
57,52461359212,21
58,52461875091,21
59,52461359562,21
60,52462329850,21
61,52461359812,21
62,52461360057,21
63,52461929306,21
64,52462330205,21
65,52462411348,21
66,52462330280,21
67,52462330340,21
68,52462330400,21
69,52462440403,21
70,52462410253,21
71,52462410098,21
72,52462409993,21
73,52461874351,21
74,52462142279,21
75,52462142119,21
76,52462141949,21
77,52461358012,21
78,52462327870,21
79,52461357862,21
80,52462141299,21
81,52461872891,21
82,52462311850,21
83,52462461218,21
84,52461929081,21
85,52462198209,21
86,52462465358,21
87,52462326965,21
88,52462360255,21
89,52462312395,21
90,52461343437,21
91,51857481350,21
92,51857481600,21
93,51857154754,21
94,51855879327,21
95,51855879542,21
96,52461857791,21
97,52461857916,21
98,51857655697,21
99,51838302729,21
100,52461858131,21
101,52461342547,21
102,52462393988,21
103,52210213734,21
104,52461858536,21
105,52462394163,21
106,52461342937,21
107,52462313485,21
108,51857481135,21
109,52462394703,21
110,51491931697,21
111,52461857326,21
112,52462392688,21
113,52462312210,21
114,51837945891,21
115,51839212945,21
116,52462125124,21
117,51837945951,21
118,52461858021,21
119,52462393773,21
120,52461858936,21
121,52462394633,21
122,51212206012,21
123,52462392983,21
124,52462328320,24
125,52461389827,24
126,52461904711,24
127,52461904836,24
128,52461904956,24
129,52462133654,24
130,52462395873,24
131,52462127669,24
132,52462127784,24
133,52462134609,24
134,52462321130,24
135,52461355117,24
136,52462138854,24
137,52462407293,24
138,52461871716,24
139,52462139984,24
140,52462326485,24
141,52461343707,24
142,52461404367,24
143,52462318785,24
144,52462400898,24
145,52462319840,24
146,52462133099,24
147,52462133014,24
148,52461864796,24
149,52462319225,24
150,52462132609,24
151,52461348582,24
152,52462399783,24
153,52717761046,23
154,52461348022,24
155,52462399203,24
156,52462131609,24
157,52725184151,-1
158,52462318045,24
159,52462315035,24
160,52461349977,24
161,52461859881,24
162,52462318630,24
163,52462319700,24
164,52462188424,24
165,52461922491,24
166,52462459163,24
167,52461408037,24
168,52462459513,24
169,52461408457,24
170,52461923461,24
171,52461408887,24
172,52461924151,24
173,52462460573,24
174,52461409492,24
175,52461404612,24
176,52158050451,24
177,52158050301,24
178,52158542025,24
179,52158286379,24
180,52158541820,24
181,52158541730,24
182,52158541615,24
183,52158052108,24
184,51858692733,24
185,52676901143,24
186,52461924466,24
